"","x"
"gamma",9.27908311898377
"k_lm",4.60963257563529
"a",11.3217882726686
"eta",1.1484635476121
"x_star",0.584227427572531
"alpha_m",2.19964506419445
"k_m",2.9070099818722
"k_mh",2.12854105329372
"alpha_h",1.47561853926354
"k_h",8.43564317058414
"l0",0.179144724735904
"x_0",1
"t_refeed",100
